,Code,Code6,CommonName,GenusSpecies
400,XAHU,BASXAN,Xantus's Hummingbird,Basilinna xantusii
401,WTSA,PAMCUR,Wedge-tailed Sabrewing,Pampa curvipennis
402,RUSA,PAMRUF,Rufous Sabrewing,Pampa rufa
403,ECHU,ABEABE,Emerald-chinned Hummingbird,Abeillia abeillei
404,VHHU,KLAGUI,Violet-headed Hummingbird,Klais guimeti
405,ANCH,ORTCRI,Antillean Crested Hummingbird,Orthorhyncus cristatus
406,VISA,CAMHEM,Violet Sabrewing,Campylopterus hemileucurus
407,BTPL,CHAURO,Bronze-tailed Plumeleteer,Chalybura urochrysia
408,WVPL,CHABUF,White-vented Plumeleteer,Chalybura buffonii
409,CRWO,THACOL,Crowned Woodnymph,Thalurania colombica
410,SNOC,MICALB,Snowcap,Microchera albocoronata
411,CHEM,MICCUP,Coppery-headed Emerald,Microchera cupreiceps
412,WTEM,MICCHI,White-tailed Emerald,Microchera chionura
413,VCAH,GOLVIO,Violet-capped Hummingbird,Goldmania violiceps
414,PIHU,GOLBEL,Pirre Hummingbird,Goldmania bella
415,MEWO,EUPRID,Mexican Woodnymph,Eupherusa ridgwayi
416,WTAH,EUPPOL,White-tailed Hummingbird,Eupherusa poliocerca
417,BCAH,EUPCYP,Blue-capped Hummingbird,Eupherusa cyanophrys
418,STHM,EUPEXI,Stripe-tailed Hummingbird,Eupherusa eximia
419,BLBH,EUPNIG,Black-bellied Hummingbird,Eupherusa nigriventris
420,SBRH,PHACUV,Scaly-breasted Hummingbird,Phaeochroa cuvierii
421,RBST,TROPOL,Red-billed Streamertail,Trochilus polytmus
422,BBST,TROSCI,Black-billed Streamertail,Trochilus scitulus
423,VCHU,RAMVIO,Violet-crowned Hummingbird,Ramosomyia violiceps
424,GFHU,RAMVIR,Green-fronted Hummingbird,Ramosomyia viridifrons
425,AZCH,SAUCYC,Azure-crowned Hummingbird,Saucerottia cyanocephala
426,BVHU,SAUHOF,Blue-vented Hummingbird,Saucerottia hoffmanni
427,BEHU,SAUBER,Berylline Hummingbird,Saucerottia beryllina
428,BTAH,SAUCYR,Blue-tailed Hummingbird,Saucerottia cyanura
429,SBEH,SAUEDW,Snowy-bellied Hummingbird,Saucerottia edward
430,CIHU,AMARUT,Cinnamon Hummingbird,Amazilia rutila
431,BBEH,AMAYUC,Buff-bellied Hummingbird,Amazilia yucatanensis
432,RTAH,AMATZA,Rufous-tailed Hummingbird,Amazilia tzacatl
433,HOEM,AMALUC,Honduran Emerald,Amazilia luciae
434,AMHU,AMZAMA,Amazilia Hummingbird,Amazilis amazilia
435,MAHU,CHRBOU,Mangrove Hummingbird,Chrysuronia boucardi
436,SHTH,CHYCOE,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis
437,HUSA,CHRHUM,Humboldt's Sapphire,Chrysuronia humboldtii
438,BCHH,POLAMA,Blue-chested Hummingbird,Polyerata amabilis
439,CHHU,POLDEC,Charming Hummingbird,Polyerata decora
440,WBEM,CHLCAD,White-bellied Emerald,Chlorestes candida
441,BTRG,CHLELI,Blue-throated Goldentail,Chlorestes eliciae
442,VBHU,CHLJUL,Violet-bellied Hummingbird,Chlorestes julie
443,HYHU,TROHYB,Hybrid Hummingbird,Trochilidae hybrid
444,UNHU,TRCGSP,Unidentified Hummingbird,"Trochilidae (gen, sp)"
445,UNIC,AMLCON,Uniform Crake,Amaurolimnas concolor
446,RNWR,ARAAXI,Rufous-necked Wood-Rail,Aramides axillaris
447,RSWR,ARAALB,Russet-naped Wood-Rail,Aramides albiventris
448,GCWR,ARACAJ,Gray-cowled Wood-Rail,Aramides cajaneus
449,RIRA,RALOBS,Ridgway's Rail,Rallus obsoletus
450,CRRA,RALOBO,California Ridgway's Rail,Rallus obsoletus obsoletus
451,LFRR,RALOBL,Light-footed Ridgway's Rail,Rallus obsoletus levipes
452,YRRA,RALOBY,Yuma Ridgway's Rail,Rallus obsoletus yumanensis
453,AZRA,RALTEN,Aztec Rail,Rallus tenuirostris
454,MARA,RALLON,Mangrove Rail,Rallus longirostris
455,KIRA,RALELE,King Rail,Rallus elegans
456,CLRA,RALCRE,Clapper Rail,Rallus crepitans
457,VIRA,RALLIM,Virginia Rail,Rallus limicola
458,WEWR,RALAQU,Western Water-Rail,Rallus aquaticus
459,CORC,CRECRE,Corn Crake,Crex crex
460,SORA,PORCAR,Sora,Porzana carolina
461,SPCR,PORPOZ,Spotted Crake,Porzana porzana
462,COGA,GALGAT,Common Gallinule,Gallinula galeata
463,HAGA,GALGSA,Hawaiian Gallinule,Gallinula galeata sandvicensis
464,COMO,GALCHL,Common Moorhen,Gallinula chloropus
465,EUCO,FULATR,Eurasian Coot,Fulica atra
466,HACO,FULALA,Hawaiian Coot,Fulica alai
467,AMCO,FULAME,American Coot,Fulica americana
468,PUGA,PORMAR,Purple Gallinule,Porphyrio martinicus
469,AZGA,PORFLA,Azure Gallinule,Porphyrio flavirostris
470,PUSW,PORPOP,Purple Swamphen,Porphyrio porphyrio
471,OCCR,RUFSCH,Ocellated Crake,Rufirallus schomburgkii
472,YERA,COTNOV,Yellow Rail,Coturnicops noveboracensis
473,YBCR,HAPFLA,Yellow-breasted Crake,Hapalocrex flaviventer
474,RUCR,LATRUB,Ruddy Crake,Laterallus ruber
475,WTCR,LATALB,White-throated Crake,Laterallus albigularis
476,GBCR,LATEXI,Gray-breasted Crake,Laterallus exilis
477,BLRA,LATJAM,Black Rail,Laterallus jamaicensis
478,EBRA,LATJAJ,Eastern Black Rail,Laterallus jamaicensis jamaicensis
479,CBRA,LATJAC,California Black Rail,Laterallus jamaicensis coturniculus
480,LARA,ZAPPAL,Laysan Rail,Zapornia palmeri
481,HARA,ZAPSAN,Hawaiian Rail,Zapornia sandwichensis
482,SUNG,HELFUL,Sungrebe,Heliornis fulica
483,LIMP,ARAGUA,Limpkin,Aramus guarauna
484,SACR,ANTCAN,Sandhill Crane,Antigone canadensis
485,MSCR,ANTCAP,Mississippi Sandhill Crane,Antigone canadensis pulla
486,CCRA,GRUGRU,Common Crane,Grus grus
487,HOCR,GRUMON,Hooded Crane,Grus monacha
488,WHCR,GRUAME,Whooping Crane,Grus americana
489,DSTK,HESBIS,Double-striped Thick-knee,Hesperoburhinus bistriatus
490,BWST,HIMHIM,Black-winged Stilt,Himantopus himantopus
491,BNST,HIMMEX,Black-necked Stilt,Himantopus mexicanus
492,HAST,HIMMKN,Hawaiian Stilt,Himantopus mexicanus knudseni
493,AMAV,RECAME,American Avocet,Recurvirostra americana
494,EUOY,HAEOST,Eurasian Oystercatcher,Haematopus ostralegus
495,AMOY,HAEPAL,American Oystercatcher,Haematopus palliatus
496,BLOY,HAEBAC,Black Oystercatcher,Haematopus bachmani
497,BBPL,PLUSQU,Black-bellied Plover,Pluvialis squatarola
498,EUGP,PLUAPR,European Golden-Plover,Pluvialis apricaria
499,AMGP,PLUDOM,American Golden-Plover,Pluvialis dominica
500,LEGP,PLUDOF,Lesser Golden-Plover,Pluvialis dominica/fulva
501,PAGP,PLUFUL,Pacific Golden-Plover,Pluvialis fulva
502,EUDO,EUDMOR,Eurasian Dotterel,Eudromias morinellus
503,KILL,CHAVOC,Killdeer,Charadrius vociferus
504,CRPL,CHAHIA,Common Ringed Plover,Charadrius hiaticula
505,SEPL,CHASEM,Semipalmated Plover,Charadrius semipalmatus
506,PIPL,CHAMEL,Piping Plover,Charadrius melodus
507,LRPL,CHADUB,Little Ringed Plover,Charadrius dubius
508,NOLA,VANVAN,Northern Lapwing,Vanellus vanellus
509,SOLA,VANCHI,Southern Lapwing,Vanellus chilensis
510,SISP,ANAMOG,Siberian Sand-Plover,Anarhynchus mongolus
511,GSAP,ANALES,Greater Sand-Plover,Anarhynchus leschenaultii
512,ORPL,ANAVER,Oriental Plover,Anarhynchus veredus
513,WIPL,ANAWIL,Wilson's Plover,Anarhynchus wilsonia
514,COPL,ANACOL,Collared Plover,Anarhynchus collaris
515,MOPL,ANAMON,Mountain Plover,Anarhynchus montanus
516,SNPL,ANANIV,Snowy Plover,Anarhynchus nivosus
517,WSPL,ANANIN,Western Snowy Plover,Anarhynchus nivosus nivosus
518,NOJA,JACSPI,Northern Jacana,Jacana spinosa
519,WAJA,JACJAC,Wattled Jacana,Jacana jacana
520,UPSA,BARLON,Upland Sandpiper,Bartramia longicauda
521,BTCU,NUMTAH,Bristle-thighed Curlew,Numenius tahitiensis
522,WHIM,NUMPHA,Whimbrel,Numenius phaeopus
523,LICU,NUMMIN,Little Curlew,Numenius minutus
524,ESCU,NUMBOR,Eskimo Curlew,Numenius borealis
525,LBCU,NUMAME,Long-billed Curlew,Numenius americanus
526,FECU,NUMMAD,Far Eastern Curlew,Numenius madagascariensis
527,SBCU,NUMTEN,Slender-billed Curlew,Numenius tenuirostris
528,EUCU,NUMARQ,Eurasian Curlew,Numenius arquata
529,BTGO,LIMLAP,Bar-tailed Godwit,Limosa lapponica
530,BLTG,LIMLIM,Black-tailed Godwit,Limosa limosa
531,HUGO,LIMHAE,Hudsonian Godwit,Limosa haemastica
532,MAGO,LIMFED,Marbled Godwit,Limosa fedoa
533,RUTU,AREINT,Ruddy Turnstone,Arenaria interpres
534,BLTU,AREMEL,Black Turnstone,Arenaria melanocephala
535,GRKN,CALTEN,Great Knot,Calidris tenuirostris
536,REKN,CALCAN,Red Knot,Calidris canutus
537,RRKN,CALCAR,Rufa Red Knot,Calidris canutus rufa
538,SURF,CALVIR,Surfbird,Calidris virgata
539,RUFF,CALPUG,Ruff,Calidris pugnax
540,BBIS,CALFAL,Broad-billed Sandpiper,Calidris falcinellus
541,SPTS,CALACU,Sharp-tailed Sandpiper,Calidris acuminata
542,STSA,CALHIM,Stilt Sandpiper,Calidris himantopus
543,CUSA,CALFER,Curlew Sandpiper,Calidris ferruginea
544,TEST,CALTEM,Temminck's Stint,Calidris temminckii
545,LTST,CALSUM,Long-toed Stint,Calidris subminuta
546,SBSA,CALPYG,Spoon-billed Sandpiper,Calidris pygmea
547,RNST,CALRUF,Red-necked Stint,Calidris ruficollis
548,SAND,CALALB,Sanderling,Calidris alba
549,DUNL,CALALP,Dunlin,Calidris alpina
550,ROSA,CALPTI,Rock Sandpiper,Calidris ptilocnemis
551,PUSA,CALMAR,Purple Sandpiper,Calidris maritima
552,BASA,CALBAI,Baird's Sandpiper,Calidris bairdii
553,LIST,CALMIA,Little Stint,Calidris minuta
554,LESA,CALMIL,Least Sandpiper,Calidris minutilla
555,WRSA,CALFUS,White-rumped Sandpiper,Calidris fuscicollis
556,BBSA,CALSUR,Buff-breasted Sandpiper,Calidris subruficollis
557,PESA,CALMET,Pectoral Sandpiper,Calidris melanotos
558,SESA,CALPUS,Semipalmated Sandpiper,Calidris pusilla
559,WESA,CALMAU,Western Sandpiper,Calidris mauri
560,SBDO,LIMGRI,Short-billed Dowitcher,Limnodromus griseus
561,LBDO,LIMSCO,Long-billed Dowitcher,Limnodromus scolopaceus
562,UNDO,LIMSPE,Unidentified Dowitcher,Limnodromus sp.
563,JASN,LYMMIN,Jack Snipe,Lymnocryptes minimus
564,EUWO,SCORUS,Eurasian Woodcock,Scolopax rusticola
565,AMWO,SCOMIN,American Woodcock,Scolopax minor
566,SOSN,GALSOL,Solitary Snipe,Gallinago solitaria
567,PTSN,GALSTE,Pin-tailed Snipe,Gallinago stenura
568,COSN,GALGAN,Common Snipe,Gallinago gallinago
569,WISN,GALDEL,Wilson's Snipe,Gallinago delicata
570,TESA,XENCIN,Terek Sandpiper,Xenus cinereus
571,COSA,ACTHYP,Common Sandpiper,Actitis hypoleucos
572,SPSA,ACTMAC,Spotted Sandpiper,Actitis macularius
573,GRSA,TRIOCH,Green Sandpiper,Tringa ochropus
574,SOSA,TRISOL,Solitary Sandpiper,Tringa solitaria
575,GTTA,TRIBRE,Gray-tailed Tattler,Tringa brevipes
576,WATA,TRIINC,Wandering Tattler,Tringa incana
577,LEYE,TRIFLA,Lesser Yellowlegs,Tringa flavipes
578,WILL,TRISEM,Willet,Tringa semipalmata
579,SPRE,TRIERY,Spotted Redshank,Tringa erythropus
580,COMG,TRINEB,Common Greenshank,Tringa nebularia
581,GRYE,TRIMEL,Greater Yellowlegs,Tringa melanoleuca
582,CREH,TRITOT,Common Redshank,Tringa totanus
583,WOSA,TRIGLA,Wood Sandpiper,Tringa glareola
584,MASA,TRISTA,Marsh Sandpiper,Tringa stagnatilis
585,WIPH,PHATRI,Wilson's Phalarope,Phalaropus tricolor
586,RNPH,PHALOB,Red-necked Phalarope,Phalaropus lobatus
587,REPH,PHAFUL,Red Phalarope,Phalaropus fulicarius
588,COPR,GLAPRA,Collared Pratincole,Glareola pratincola
589,ORPR,GLAMAL,Oriental Pratincole,Glareola maldivarum
590,GRSK,STESKU,Great Skua,Stercorarius skua
591,SPSK,STEMAC,South Polar Skua,Stercorarius maccormicki
592,POJA,STEPOM,Pomarine Jaeger,Stercorarius pomarinus
593,PAJA,STEPAS,Parasitic Jaeger,Stercorarius parasiticus
594,LTJA,STELON,Long-tailed Jaeger,Stercorarius longicaudus
595,DOVE,ALLALL,Dovekie,Alle alle
596,COMU,URIAAL,Common Murre,Uria aalge
597,TBMU,URILOM,Thick-billed Murre,Uria lomvia
598,RAZO,ALCTOR,Razorbill,Alca torda
599,GRAU,PINIMP,Great Auk,Pinguinus impennis
600,BLGU,CEPGRY,Black Guillemot,Cepphus grylle
601,PIGU,CEPCOL,Pigeon Guillemot,Cepphus columba
602,LBMU,BRAPER,Long-billed Murrelet,Brachyramphus perdix
603,MAMU,BRAMAR,Marbled Murrelet,Brachyramphus marmoratus
604,AMMU,BRAMAA,Alaska Marbled Murrelet,Brachyramphus marmoratus
605,KIMU,BRABRE,Kittlitz's Murrelet,Brachyramphus brevirostris
606,SCMU,SYNSCR,Scripps's Murrelet,Synthliboramphus scrippsi
607,GUMU,SYNHYP,Guadalupe Murrelet,Synthliboramphus hypoleucus
608,CRMU,SYNCRA,Craveri's Murrelet,Synthliboramphus craveri
609,ANMU,SYNANT,Ancient Murrelet,Synthliboramphus antiquus
610,CAAU,PTYALE,Cassin's Auklet,Ptychoramphus aleuticus
611,PAAU,AETPSI,Parakeet Auklet,Aethia psittacula
612,LEAU,AETPUS,Least Auklet,Aethia pusilla
613,WHAU,AETPYG,Whiskered Auklet,Aethia pygmaea
614,CRAU,AETCRI,Crested Auklet,Aethia cristatella
615,RHAU,CERMON,Rhinoceros Auklet,Cerorhinca monocerata
616,ATPU,FRAARC,Atlantic Puffin,Fratercula arctica
617,HOPU,FRACOR,Horned Puffin,Fratercula corniculata
618,TUPU,FRACIR,Tufted Puffin,Fratercula cirrhata
619,STGU,CREFUR,Swallow-tailed Gull,Creagrus furcatus
620,BLKI,RISTRI,Black-legged Kittiwake,Rissa tridactyla
621,RLKI,RISBRE,Red-legged Kittiwake,Rissa brevirostris
622,IVGU,PAGEBU,Ivory Gull,Pagophila eburnea
623,SAGU,XEMSAB,Sabine's Gull,Xema sabini
624,BOGU,CHRPHI,Bonaparte's Gull,Chroicocephalus philadelphia
625,GHGU,CHRCIR,Gray-hooded Gull,Chroicocephalus cirrocephalus
626,BHGU,CHRRID,Black-headed Gull,Chroicocephalus ridibundus
627,LIGU,HYDMIN,Little Gull,Hydrocoloeus minutus
628,ROGU,RHSROS,Ross's Gull,Rhodostethia rosea
629,GRGU,LEUMOD,Gray Gull,Leucophaeus modestus
630,LAGU,LEUATC,Laughing Gull,Leucophaeus atricilla
631,FRGU,LEUPIP,Franklin's Gull,Leucophaeus pipixcan
632,PAGU,ICHICH,Pallas's Gull,Ichthyaetus ichthyaetus
633,BEGU,LARBEL,Belcher's Gull,Larus belcheri
634,BTGU,LARCRA,Black-tailed Gull,Larus crassirostris
635,HEEG,LARHEE,Heermann's Gull,Larus heermanni
636,COGU,LARCAN,Common Gull,Larus canus
637,SBIG,LARBRA,Short-billed Gull,Larus brachyrhynchus
638,RBGU,LARDEL,Ring-billed Gull,Larus delawarensis
639,WEGU,LAROCC,Western Gull,Larus occidentalis
640,WGWH,LAROCG,Western X Glaucous-winged Gull Hybrid,Larus occidentalis x glaucescens
641,YFGU,LARLIV,Yellow-footed Gull,Larus livens
642,CAGU,LARCAL,California Gull,Larus californicus
643,HERG,LARARG,Herring Gull,Larus argentatus
644,YLGU,LARMIC,Yellow-legged Gull,Larus michahellis
645,ICGU,LARGLD,Iceland Gull,Larus glaucoides
646,THGU,LARGTH,Thayer's Gull,Larus glaucoides thayeri
647,TKGU,LARGTK,Thayer's/Kumlien's Gull,Larus glaucoides thayeri/kumlieni
648,KUGU,LARGKU,Kumlien's Gull,Larus glaucoides kumlieni
649,LBBG,LARFUS,Lesser Black-backed Gull,Larus fuscus
650,SBAG,LARSCH,Slaty-backed Gull,Larus schistisagus
651,GWGU,LARGLS,Glaucous-winged Gull,Larus glaucescens
652,GLGU,LARHYP,Glaucous Gull,Larus hyperboreus
653,GBBG,LARMAR,Great Black-backed Gull,Larus marinus
654,KEGU,LARDOM,Kelp Gull,Larus dominicanus
655,UNLG,LARSPE,Unidentified Larus Gull,Larus (sp)
656,BRNO,ANOSTO,Brown Noddy,Anous stolidus
657,BLNO,ANOMIN,Black Noddy,Anous minutus
658,BGNO,ANOCER,Blue-gray Noddy,Anous ceruleus
659,WHTT,GYGALB,White Tern,Gygis alba
660,SOTE,ONYFUS,Sooty Tern,Onychoprion fuscatus
661,GBAT,ONYLUN,Gray-backed Tern,Onychoprion lunatus
662,BRTE,ONYANA,Bridled Tern,Onychoprion anaethetus
663,ALTE,ONYALE,Aleutian Tern,Onychoprion aleuticus
664,LITE,STEALB,Little Tern,Sternula albifrons
665,LETE,STEANT,Least Tern,Sternula antillarum
666,ILTE,STEANA,Interior Least Tern,Sternula antillarum athalassos
667,CLTE,STEANB,California Least Tern,Sternula antillarum browni
668,YBTE,STESUP,Yellow-billed Tern,Sternula superciliaris
669,LBTE,PHASIM,Large-billed Tern,Phaetusa simplex
670,GBTE,GELNIL,Gull-billed Tern,Gelochelidon nilotica
671,CATE,HYDCAP,Caspian Tern,Hydroprogne caspia
672,INTE,LARINC,Inca Tern,Larosterna inca
673,BLTE,CHLNIG,Black Tern,Chlidonias niger
674,WWTE,CHLLEU,White-winged Tern,Chlidonias leucopterus
675,WHST,CHLHYB,Whiskered Tern,Chlidonias hybrida
676,ROST,STEDOU,Roseate Tern,Sterna dougallii
677,COTE,STEHIR,Common Tern,Sterna hirundo
678,ARTE,STEPAD,Arctic Tern,Sterna paradisaea
679,FOTE,STEFOR,Forster's Tern,Sterna forsteri
680,ROYT,THAMAX,Royal Tern,Thalasseus maximus
681,GCTE,THABER,Great Crested Tern,Thalasseus bergii
682,SATE,THASAN,Sandwich Tern,Thalasseus sandvicensis
683,CAYT,THASAE,Cayenne Tern,Thalasseus sandvicensis eurygnathus
684,ELTE,THAELE,Elegant Tern,Thalasseus elegans
685,BLSK,RYNNIG,Black Skimmer,Rynchops niger
686,SUNB,EURHEL,Sunbittern,Eurypyga helias
687,WTTR,PHALEP,White-tailed Tropicbird,Phaethon lepturus
688,RBTR,PHAAET,Red-billed Tropicbird,Phaethon aethereus
689,RTTR,PHARUB,Red-tailed Tropicbird,Phaethon rubricauda
690,RTLO,GAVSTE,Red-throated Loon,Gavia stellata
691,ARLO,GAVARC,Arctic Loon,Gavia arctica
692,PALO,GAVPAC,Pacific Loon,Gavia pacifica
693,COLO,GAVIMM,Common Loon,Gavia immer
694,YBLO,GAVADA,Yellow-billed Loon,Gavia adamsii
695,YNAL,THACHL,Yellow-nosed Albatross,Thalassarche chlororhynchos
696,WCAL,THACAU,White-capped Albatross,Thalassarche cauta
697,CHAL,THAERE,Chatham Albatross,Thalassarche eremita
698,SAAL,THASAL,Salvin's Albatross,Thalassarche salvini
699,BBAL,THAMEL,Black-browed Albatross,Thalassarche melanophris
700,LMAL,PHOPAL,Light-mantled Albatross,Phoebetria palpebrata
701,WAAL,DIOEXU,Wandering Albatross,Diomedea exulans
702,LAAL,PHOIMM,Laysan Albatross,Phoebastria immutabilis
703,LBFH,PHOIMN,Laysan X Black-foot. Albatross Hybrid,Phoebastria immutabilis x nigripes
704,BFAL,PHONIG,Black-footed Albatross,Phoebastria nigripes
705,WAVA,PHOIRR,Waved Albatross,Phoebastria irrorata
706,STAL,PHOALB,Short-tailed Albatross,Phoebastria albatrus
707,WISP,OCEOCE,Wilson's Storm-Petrel,Oceanites oceanicus
708,WFSP,PELMAR,White-faced Storm-Petrel,Pelagodroma marina
709,BBSP,FRETRO,Black-bellied Storm-Petrel,Fregetta tropica
710,EUSP,HYDPEL,European Storm-Petrel,Hydrobates pelagicus
711,FTSP,HYDFUR,Fork-tailed Storm-Petrel,Hydrobates furcatus
712,RISP,HYDHOR,Ringed Storm-Petrel,Hydrobates hornbyi
713,SSTP,HYDMON,Swinhoe's Storm-Petrel,Hydrobates monorhis
714,LESP,HYDLEU,Leach's Storm-Petrel,Hydrobates leucorhous
715,TOSP,HYDSOC,Townsend's Storm-Petrel,Hydrobates socorroensis
716,AISP,HYDCHE,Ainley's Storm-Petrel,Hydrobates cheimomnestes
717,ASSP,HYDHOM,Ashy Storm-Petrel,Hydrobates homochroa
718,BSTP,HYDCAT,Band-rumped Storm-Petrel,Hydrobates castro
719,WRSP,HYDTET,Wedge-rumped Storm-Petrel,Hydrobates tethys
720,BLSP,HYDMEL,Black Storm-Petrel,Hydrobates melania
721,GUSP,HYDMAD,Guadalupe Storm-Petrel,Hydrobates macrodactylus
722,MASP,HYDMAR,Markham's Storm-Petrel,Hydrobates markhami
723,TRSP,HYDTRI,Tristram's Storm-Petrel,Hydrobates tristrami
724,LSTP,HYDMIC,Least Storm-Petrel,Hydrobates microsoma
725,NOGP,MACHAL,Northern Giant-Petrel,Macronectes halli
726,NOFU,FULGLA,Northern Fulmar,Fulmarus glacialis
727,GFPE,PTEGOU,Gray-faced Petrel,Pterodroma gouldi
728,PRPE,PTESOL,Providence Petrel,Pterodroma solandri
729,KEPE,PTENEG,Kermadec Petrel,Pterodroma neglecta
730,TRPE,PTEARM,Trindade Petrel,Pterodroma arminjoniana
731,HEPE,PTEHER,Herald Petrel,Pterodroma heraldica
732,MUPE,PTEULT,Murphy's Petrel,Pterodroma ultima
733,MOPE,PTEINE,Mottled Petrel,Pterodroma inexpectata
734,BEPE,PTECAH,Bermuda Petrel,Pterodroma cahow
735,JPET,PTECAR,Jamaican Petrel,Pterodroma caribbaea
736,BCPE,PTEHAS,Black-capped Petrel,Pterodroma hasitata
737,JFPE,PTEEXT,Juan Fernandez Petrel,Pterodroma externa
738,GAPE,PTEPHA,Galapagos Petrel,Pterodroma phaeopygia
739,HAPE,PTESAN,Hawaiian Petrel,Pterodroma sandwichensis
740,WNPE,PTECER,White-necked Petrel,Pterodroma cervicalis
741,BOPE,PTEHYP,Bonin Petrel,Pterodroma hypoleuca
742,BWPE,PTENIG,Black-winged Petrel,Pterodroma nigripennis
743,FEPE,PTEFEA,Fea's Petrel,Pterodroma feae
744,ZIPE,PTEMAD,Zino's Petrel,Pterodroma madeira
745,COPE,PTECOO,Cook's Petrel,Pterodroma cookii
746,STPE,PTELON,Stejneger's Petrel,Pterodroma longirostris
747,TAPE,PSEROS,Tahiti Petrel,Pseudobulweria rostrata
748,BUPE,BULBUL,Bulwer's Petrel,Bulweria bulwerii
749,JOPE,BULFAL,Jouanin's Petrel,Bulweria fallax
750,WCPE,PROAEQ,White-chinned Petrel,Procellaria aequinoctialis
751,PAPE,PROPAR,Parkinson's Petrel,Procellaria parkinsoni
752,STRS,CALLEU,Streaked Shearwater,Calonectris leucomelas
753,SCSH,CALDIO,Scopoli's Shearwater,Calonectris diomedea
754,CORS,CALBOR,Cory's Shearwater,Calonectris borealis
755,CVSH,CALEDW,Cape Verde Shearwater,Calonectris edwardsii
756,WTSH,ARDPAC,Wedge-tailed Shearwater,Ardenna pacifica
757,BULS,ARDBUL,Buller's Shearwater,Ardenna bulleri
758,STTS,ARDTEN,Short-tailed Shearwater,Ardenna tenuirostris
759,SOSH,ARDGRI,Sooty Shearwater,Ardenna grisea
760,GRSH,ARDGRA,Great Shearwater,Ardenna gravis
761,PFSH,ARDCRE,Pink-footed Shearwater,Ardenna creatopus
762,FFSH,ARDCAR,Flesh-footed Shearwater,Ardenna carneipes
763,CHSH,PUFNAT,Christmas Shearwater,Puffinus nativitatis
764,GASH,PUFSUB,Galapagos Shearwater,Puffinus subalaris
765,MASH,PUFPUF,Manx Shearwater,Puffinus puffinus
766,TOSH,PUFAUR,Townsend's Shearwater,Puffinus auricularis
767,NESH,PUFNEW,Newell's Shearwater,Puffinus newelli
768,BRYS,PUFBRY,Bryan's Shearwater,Puffinus bryani
769,BVSH,PUFOPI,Black-vented Shearwater,Puffinus opisthomelas
770,SASH,PUFLHE,Sargasso Shearwater,Puffinus lherminieri
771,BASH,PUFBAR,Barolo Shearwater,Puffinus baroli
772,MAST,JCICMA,Maguari Stork,Ciconia maguari
773,JABI,JABMYC,Jabiru,Jabiru mycteria
774,WOST,MYCAME,Wood Stork,Mycteria americana
775,LEFR,FREARI,Lesser Frigatebird,Fregata ariel
776,MAFR,FREMAG,Magnificent Frigatebird,Fregata magnificens
777,GREF,FREMIN,Great Frigatebird,Fregata minor
778,MABO,SULDAC,Masked Booby,Sula dactylatra
779,NABO,SULGRA,Nazca Booby,Sula granti
780,BFBO,SULNEB,Blue-footed Booby,Sula nebouxii
781,PEBO,SULVAR,Peruvian Booby,Sula variegata
782,BRBO,SULLEU,Brown Booby,Sula leucogaster
783,COBO,SULBRE,Cocos Booby,Sula brewsteri
784,RFBO,SULSUL,Red-footed Booby,Sula sula
785,NOGA,MORBAS,Northern Gannet,Morus bassanus
786,ANHI,ANHANH,Anhinga,Anhinga anhinga
787,BRAC,URIPEN,Brandt's Cormorant,Urile penicillatus
788,RFCO,URIURI,Red-faced Cormorant,Urile urile
789,PECO,URIPEL,Pelagic Cormorant,Urile pelagicus
790,GRCO,PHACAR,Great Cormorant,Phalacrocorax carbo
791,DCCO,NANAUR,Double-crested Cormorant,Nannopterum auritum
792,NECO,NANBRA,Neotropic Cormorant,Nannopterum brasilianum
793,AWPE,PELERY,American White Pelican,Pelecanus erythrorhynchos
794,BRPE,PELOCC,Brown Pelican,Pelecanus occidentalis
795,RTHE,TIGLIN,Rufescent Tiger-Heron,Tigrisoma lineatum
796,BTTH,TIGMEX,Bare-throated Tiger-Heron,Tigrisoma mexicanum
797,FTHE,TIGFAS,Fasciated Tiger-Heron,Tigrisoma fasciatum
798,BBHE,COCCOL,Boat-billed Heron,Cochlearius cochlearius
799,AGHE,AGAAGA,Agami Heron,Agamia agami
800,LEBI,BOTEXI,Least Bittern,Botaurus exilis
801,AMBI,BOTLEN,American Bittern,Botaurus lentiginosus
802,PIBI,BOTPIN,Pinnated Bittern,Botaurus pinnatus
803,LIBI,BOTMIN,Little Bittern,Botarus minutus
804,YEBI,BOTSIN,Yellow Bittern,Botaurus sinensis
805,CAHE,PILPIL,Capped Heron,Pilherodius pileatus
806,WHHE,SYRSIB,Whistling Heron,Syrigma sibilatrix
807,LBHE,EGRCAE,Little Blue Heron,Egretta caerulea
808,TRHE,EGRTRI,Tricolored Heron,Egretta tricolor
809,REEG,EGRRUF,Reddish Egret,Egretta rufescens
810,CHEG,EGREUL,Chinese Egret,Egretta eulophotes
811,SNEG,EGRTHU,Snowy Egret,Egretta thula
812,LIEG,EGRGAR,Little Egret,Egretta garzetta
813,WERH,EGRGUL,Western Reef-Heron,Egretta gularis
814,YCNH,NYCVIO,Yellow-crowned Night Heron,Nyctanassa violacea
815,BCNH,NYCNYC,Black-crowned Night Heron,Nycticorax nycticorax
816,STRH,BUTSTR,Striated Heron,Butorides striata
817,GRHE,BUTVIR,Green Heron,Butorides virescens
