,Code,Code6,CommonName,GenusSpecies
94,WWSC,MELDEG,White-winged Scoter,Melanitta deglandi
95,STSC,MELSTE,Stejneger's Scoter,Melanitta stejnegeri
96,COSC,MENNIG,Common Scoter,Melanitta nigra
97,BLSC,MELAME,Black Scoter,Melanitta americana
98,LTDU,CLAHYE,Long-tailed Duck,Clangula hyemalis
99,BUFF,BUCALB,Bufflehead,Bucephala albeola
100,COGO,BUCCLA,Common Goldeneye,Bucephala clangula
101,BAGO,BUCISL,Barrow's Goldeneye,Bucephala islandica
102,SMEW,MERALB,Smew,Mergellus albellus
103,HOME,LOPCUC,Hooded Merganser,Lophodytes cucullatus
104,COME,MERMER,Common Merganser,Mergus merganser
105,RBME,MERSER,Red-breasted Merganser,Mergus serrator
106,MADU,NOMDOM,Masked Duck,Nomonyx dominicus
107,RUDU,OXYJAM,Ruddy Duck,Oxyura jamaicensis
108,UNDU,ANAGSP,Unidentified Duck,"Anatinae (gen, sp)"
109,PLCH,ORTVET,Plain Chachalaca,Ortalis vetula
110,GHEC,ORTCIN,Gray-headed Chachalaca,Ortalis cinereiceps
111,RVCH,ORTRUF,Rufous-vented Chachalaca,Ortalis ruficauda
112,RBEC,ORTWAG,Rufous-bellied Chachalaca,Ortalis wagleri
113,WMCH,ORTPOL,West Mexican Chachalaca,Ortalis poliocephala
114,WBCH,ORTLEU,White-bellied Chachalaca,Ortalis leucogastra
115,CRGU,PENPUR,Crested Guan,Penelope purpurascens
116,BLAG,CHAUNI,Black Guan,Chamaepetes unicolor
117,HIGU,PENNIG,Highland Guan,Penelopina nigra
118,HOGU,OREDER,Horned Guan,Oreophasis derbianus
119,GRCU,CRARUB,Great Curassow,Crax rubra
120,HELG,NUMMEL,Helmeted Guineafowl,Numida meleagris
121,TFQU,RHYCIN,Tawny-faced Quail,Rhynchortyx cinctus
122,MOUQ,OREPIC,Mountain Quail,Oreortyx pictus
123,BCWP,DENLEU,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
124,LTWP,DENMAC,Long-tailed Wood-Partridge,Dendrortyx macroura
125,BEWP,DENBAR,Bearded Wood-Partridge,Dendrortyx barbatus
126,BAQU,PHIFAS,Banded Quail,Philortyx fasciatus
127,NOBO,COLVIR,Northern Bobwhite,Colinus virginianus
128,BTBO,COLNIG,Black-throated Bobwhite,Colinus nigrogularis
129,CRBO,COLCRI,Crested Bobwhite,Colinus cristatus
130,SPBO,COLLEU,Spot-bellied Bobwhite,Colinus leucopogon
131,SCQU,CALSQU,Scaled Quail,Callipepla squamata
132,ELQU,CALDOU,Elegant Quail,Callipepla douglasii
133,CAQU,CALCAF,California Quail,Callipepla californica
134,GAQU,CALGAM,Gambel's Quail,Callipepla gambelii
135,MONQ,CYRMON,Montezuma Quail,Cyrtonyx montezumae
136,OCQU,CYROCE,Ocellated Quail,Cyrtonyx ocellatus
137,SIQU,DACTHO,Singing Quail,Dactylortyx thoracicus
138,MAWQ,ODOGUJ,Marbled Wood-Quail,Odontophorus gujanensis
139,BEWQ,ODOMEL,Black-eared Wood-Quail,Odontophorus melanotis
140,TAWQ,ODODIA,Tacarcuna Wood-Quail,Odontophorus dialeucos
141,BBWQ,ODOLEU,Black-breasted Wood-Quail,Odontophorus leucolaemus
142,SPWQ,ODOGUT,Spotted Wood-Quail,Odontophorus guttatus
143,WITU,MELGAL,Wild Turkey,Meleagris gallopavo
144,OCTU,MELOCE,Ocellated Turkey,Meleagris ocellata
145,RUGR,BONUMB,Ruffed Grouse,Bonasa umbellus
146,SPGR,CANCAN,Spruce Grouse,Canachites canadensis
147,WIPT,LAGLAG,Willow Ptarmigan,Lagopus lagopus
148,ROPT,LAGMUT,Rock Ptarmigan,Lagopus muta
149,WTPT,LAGLEU,White-tailed Ptarmigan,Lagopus leucura
150,GRSG,CENURO,Greater Sage-Grouse,Centrocercus urophasianus
151,GUSG,CENMIN,Gunnison Sage-Grouse,Centrocercus minimus
152,DUGR,DENOBS,Dusky Grouse,Dendragapus obscurus
153,SOGR,DENFUU,Sooty Grouse,Dendragapus fuliginosus
154,STGR,TYMPHA,Sharp-tailed Grouse,Tympanuchus phasianellus
155,GRPC,TYMCUP,Greater Prairie-Chicken,Tympanuchus cupido
156,LEPC,TYMPAL,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
157,GRAP,PERPER,Gray Partridge,Perdix perdix
158,RNEP,PHACOL,Ring-necked Pheasant,Phasianus colchicus
159,KAPH,LOPLEU,Kalij Pheasant,Lophura leucomelanos
160,INPE,PAVCRI,Indian Peafowl,Pavo cristatus
161,GRAF,ORTPON,Gray Francolin,Ortygornis pondicerianus
162,BLFR,FRAFRA,Black Francolin,Francolinus francolinus
163,REJU,GALGAS,Red Junglefowl,Gallus gallus
164,HISN,TETHIM,Himalayan Snowcock,Tetraogallus himalayensis
165,CHUK,ALECHU,Chukar,Alectoris chukar
166,JAQU,COTJAP,Japanese Quail,Coturnix japonica
167,ERFR,PTEERC,Erckel's Francolin,Pternistis erckelii
168,AMFL,PHORUB,American Flamingo,Phoenicopterus ruber
169,LEGR,TACDOM,Least Grebe,Tachybaptus dominicus
170,PBGR,PODPOD,Pied-billed Grebe,Podilymbus podiceps
171,ATGR,PODGIG,Atitlan Grebe,Podilymbus gigas
172,HOGR,PODAUR,Horned Grebe,Podiceps auritus
173,RNGR,PODGRI,Red-necked Grebe,Podiceps grisegena
174,EAGR,PODNIG,Eared Grebe,Podiceps nigricollis
175,WEGR,AECOCC,Western Grebe,Aechmophorus occidentalis
176,WCGR,AECOCL,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii
177,CLGR,AECCLA,Clark's Grebe,Aechmophorus clarkii
178,CBSA,PTEEXU,Chestnut-bellied Sandgrouse,Pterocles exustus
179,ROPI,COLLIV,Rock Pigeon,Columba livia
180,CWPI,COLPAL,Common Wood Pigeon,Columba palumbus
181,PAPI,ECTMIG,Passenger Pigeon,Ectopistes migratorius
