,Code,Code6,CommonName,GenusSpecies
1551,VGSW,TACTHA,Violet-green Swallow,Tachycineta thalassina
1557,NRWS,STESER,Northern Rough-winged Swallow,Stelgidopteryx serripennis
1560,PUMA,PROSUB,Purple Martin,Progne subis
1566,BARS,HIRRUS,Barn Swallow,Hirundo rustica
1569,CLSW,PETPYR,Cliff Swallow,Petrochelidon pyrrhonota
1572,BUSH,PSAMIN,Bushtit,Psaltriparus minimus
1592,RCKI,CORCAL,Ruby-crowned Kinglet,Corthylio calendula
1593,GCKI,REGSAT,Golden-crowned Kinglet,Regulus satrapa
1596,CEDW,BOMCED,Cedar Waxwing,Bombycilla cedrorum
1606,RBNU,SITCAN,Red-breasted Nuthatch,Sitta canadensis
1611,BRCR,CERAME,Brown Creeper,Certhia americana
1662,BEWR,THRBEW,Bewick's Wren,Thryomanes bewickii
1664,NHWR,TROAED,Northern House Wren,Troglodytes aedon
1676,PAWR,TROPAC,Pacific Wren,Troglodytes pacificus
1682,MAWR,CISPAL,Marsh Wren,Cistothorus palustris
1710,EUST,STUVUL,European Starling,Sturnus vulgaris
1741,SWTH,CATUST,Swainson's Thrush,Catharus ustulatus
1742,HETH,CATGUT,Hermit Thrush,Catharus guttatus
1763,AMRO,TURMIG,American Robin,Turdus migratorius
1769,VATH,IXONAE,Varied Thrush,Ixoreus naevius
1809,HOSP,PASDOM,House Sparrow,Passer domesticus
1820,AMPI,ANTRUB,American Pipit,Anthus rubescens
1846,EVGR,COCVES,Evening Grosbeak,Coccothraustes vespertinus
1895,HOFI,HAEMEX,House Finch,Haemorhous mexicanus
1896,PUFI,HAEPUR,Purple Finch,Haemorhous purpureus
1902,RECR,LOXCUR,Red Crossbill,Loxia curvirostra
1908,PISI,SPIPIN,Pine Siskin,Spinus pinus
1916,AGOL,SPITRI,American Goldfinch,Spinus tristis
1957,CHSP,SPIPAS,Chipping Sparrow,Spizella passerina
1969,FOSP,PASILI,Fox Sparrow,Passerella iliaca
1973,DEJU,JUNHYE,Dark-eyed Junco,Junco hyemalis
1983,WCSP,ZONLEU,White-crowned Sparrow,Zonotrichia leucophrys
1989,GCSP,ZONATR,Golden-crowned Sparrow,Zonotrichia atricapilla
1991,WTSP,ZONALB,White-throated Sparrow,Zonotrichia albicollis
2008,SAVS,PASSAN,Savannah Sparrow,Passerculus sandwichensis
2013,SOSP,MELMEL,Song Sparrow,Melospiza melodia
2014,LISP,MELLIN,Lincoln's Sparrow,Melospiza lincolnii
2031,SPTO,PIPMAC,Spotted Towhee,Pipilo maculatus
2056,YHBL,XANXAN,Yellow-headed Blackbird,Xanthocephalus xanthocephalus
2099,RWBL,AGEPHO,Red-winged Blackbird,Agelaius phoeniceus
2106,BHCO,MOLATE,Brown-headed Cowbird,Molothrus ater
2111,BRBL,EUPCYC,Brewer's Blackbird,Euphagus cyanocephalus
2137,OCWA,LEICEL,Orange-crowned Warbler,Leiothlypis celata
2145,MGWA,GEOTOL,MacGillivray's Warbler,Geothlypis tolmiei
2153,COYE,GEOTRI,Common Yellowthroat,Geothlypis trichas
2180,YRWA,SETCOR,Yellow-rumped Warbler,Setophaga coronata
2191,BTYW,SETNIG,Black-throated Gray Warbler,Setophaga nigrescens
2192,TOWA,SETTOW,Townsend's Warbler,Setophaga townsendi
2208,WIWA,CARPUS,Wilson's Warbler,Cardellina pusilla
2221,WETA,PIRLUD,Western Tanager,Piranga ludoviciana
2239,BHGR,PHEMEL,Black-headed Grosbeak,Pheucticus melanocephalus
2246,LAZB,PASAMO,Lazuli Bunting,Passerina amoena
